Species,Age,Total aboveground biomass (g m-2),Leaf biomass (g m-2),Proportion ANPP to leaves,LAI,Annual production (g m-2),Site,Notes,Source,,,,,,,,
Juglans nigra,28,16764,NA,NA,6.3,287,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,27,11744,NA,NA,11.49,342,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Tilia cordata,22,12216,NA,NA,3.11,751,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,29,16008,NA,NA,5.03,398,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,33,11848,NA,NA,3.8,522,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,34,19993,NA,NA,4.04,222,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,33,18196,NA,NA,4.35,552,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,32,13452,NA,NA,4.58,983,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Tilia cordata,27,15975,NA,NA,9.98,1229,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,34,17998,NA,NA,4.47,1075,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,38,19096,NA,NA,1.34,1913,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,39,18885,NA,NA,2.55,542,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,38,20960,NA,NA,2.5,996,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,37,18369,NA,NA,1.73,1027,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Tilia cordata,32,18088,NA,NA,4.05,896,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,39,23376,NA,NA,3.24,2023,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,43,28521,NA,NA,0.65,1913,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,44,21594,NA,NA,2.31,542,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,43,25937,NA,NA,2.28,996,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,42,23505,NA,NA,0.6,1027,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Tilia cordata,37,22570,NA,NA,3.19,896,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,44,66796,NA,NA,3.3,2023,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,48,36716,NA,NA,0.73,1639,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,49,26340,NA,NA,2.84,949,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,48,34111,NA,NA,2.65,1635,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Juglans nigra,47,31973,NA,NA,0.58,1694,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Tilia cordata,42,31378,NA,NA,4.5,1762,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
Quercus rubra,49,48650,NA,NA,3.9,3031,Slovakia,Mix of species; named species is 80% of original planting. Various treatments applied.,"Tokár, F. 2003. Leaf area index (LAI), climatic conditions and aboveground biomass production in stands of red oak (Quercus rubra L.) and black walnut (Juglans nigra L.):9.",,,,,,,,
